Country:text,Renewable energy share 2020:number,Renewable energy share 2021:number,2020 Target:number
Sweden,60.12,62.57,49
Finland,43.94,43.1,38
Latvia,42.13,42.11,40
Estonia,30.07,38.01,25
Austria,36.55,36.44,34
Denmark,31.68,34.72,30
Portugal,33.98,33.98,31
Croatia,31.02,31.33,20
Lithuania,26.77,28.23,23
Slovenia,25.0,25.0,25
Romania,24.48,23.6,24
Greece,21.75,21.93,18
Spain,21.22,20.73,20
France,19.11,19.34,23
Germany,19.09,19.17,18
Italy,20.36,19.03,17
Cyprus,16.88,18.42,13
Czechia,17.3,17.67,13
Slovakia,17.34,17.41,14
Bulgaria,23.32,17.02,16
Poland,16.1,15.62,15
Hungary,13.85,14.11,13
Belgium,13.0,13.01,13
Netherlands,14.0,13.0,14
Ireland,16.16,12.55,16
Malta,10.71,12.15,10
Luxembourg,11.7,11.74,11
,,,
EU-27,22.04,21.81,20
,,,
Iceland,83.72,85.78,64
Norway,77.36,74.09,68
